Year,    PopIndia,      PopChina
1960,    445954560,     654170700
1961,    456351870,     655260350
1962,    467024200,     664614660
1963,    477933630,     683903550
1964,    489059300,     704593800
1965,    500114340,     723846340
1966,    510992600,     742948540
1967,    521987070,     761006300
1968,    533431900,     780372000
1969,    545314700,     801431000
1970,    557501300,     822534460
1971,    569999170,     843285440
1972,    582837950,     862840400
1973,    596107460,     881652100
1974,    609721900,     899367700
1975,    623524200,     915124700
1976,    637451460,     929375940
1977,    651685600,     942581300
1978,    666267800,     955138940
1979,    681248400,     968298940
1980,    696828350,     982372500
1981,    712869300,     997259500
1982,    729169500,     1013483200
1983,    745826560,     1029226900
1984,    762895170,     1044172200
1985,    780242100,     1060240000
1986,    797879000,     1077770500
1987,    815716160,     1096851800
1988,    833729660,     1115889800
1989,    852012700,     1134414700
1990,    870452160,     1153704200
1991,    888941760,     1170626200
1992,    907574100,     1183813400
1993,    926351300,     1195855600
1994,    945261950,     1207286700
1995,    964279100,     1218144400
1996,    983281200,     1228298900
1997,    1002335200,    1237801500
1998,    1021434560,    1246836100
1999,    1040500030,    1255433200
2000,    1059633660,    1264099100
2001,    1078970900,    1272739600
2002,    1098313100,    1280926100
2003,    1117415200,    1288873300
2004,    1136264600,    1296816800
2005,    1154638700,    1304887600
2006,    1172373800,    1313086600
2007,    1189691800,    1321513200
2008,    1206734800,    1330167200
2009,    1223640200,    1339125600
2010,    1240613600,    1348191400
2011,    1257621200,    1357095400
2012,    1274487200,    1366560800
2013,    1291132000,    1376100400
2014,    1307246500,    1385189600
2015,    1322866600,    1393715500
2016,    1338636300,    1401889700
2017,    1354195700,    1410276000
2018,    1369003300,    1417069400
2019,    1383112100,    1421864100
2020,    1396387100,    1424929800
2021,    1407563900,    1425893500
